Date,CPI,Unemployment Rate,GDP
01/07/1966,0.002161828,3.8,0.018207883
01/08/1966,0.006163328,3.8,
01/09/1966,0.003062787,3.7,
01/10/1966,0.003053435,3.7,0.016670774
01/11/1966,0.000913242,3.6,
01/12/1966,0.001216545,3.8,
01/01/1967,-0.000607533,3.9,0.01304209
01/02/1967,0.003039514,3.8,
01/03/1967,0,3.8,
01/04/1967,0.003030303,3.8,0.005701458
01/05/1967,0,3.8,
01/06/1967,0.006042296,3.9,
01/07/1967,0.003003003,3.8,0.019140548
01/08/1967,0.002994012,3.8,
01/09/1967,0.002985075,3.8,
01/10/1967,0.00297619,4,0.018730215
01/11/1967,0.005934718,3.9,
01/12/1967,0.002949853,3.8,
01/01/1968,0.002941176,3.7,0.031707242
01/02/1968,0.002932551,3.8,
01/03/1968,0.002923977,3.7,
01/04/1968,0.002915452,3.5,0.027443762
01/05/1968,0.002906977,3.5,
01/06/1968,0.005797101,3.7,
01/07/1968,0.005763689,3.7,0.017639114
01/08/1968,0.00286533,3.5,
01/09/1968,0.002857143,3.4,
01/10/1968,0.005698006,3.4,0.018094812
01/11/1968,0.002832861,3.4,
01/12/1968,0.005649718,3.4,
01/01/1969,0.002808989,3.4,0.026142785
01/02/1969,0.00280112,3.4,
01/03/1969,0.008379888,3.4,
01/04/1969,0.005540166,3.4,0.015788197
01/05/1969,0.002754821,3.4,
01/06/1969,0.005494505,3.5,
01/07/1969,0.005464481,3.5,0.020748845
01/08/1969,0.002717391,3.5,
01/09/1969,0.005420054,3.7,
01/10/1969,0.005390836,3.7,0.007952767
01/11/1969,0.00536193,3.5,
01/12/1969,0.005333333,3.5,
01/01/1970,0.00530504,3.9,0.012573364
01/02/1970,0.005277045,4.2,
01/03/1970,0.005249344,4.4,
01/04/1970,0.005221932,4.6,0.015387177
01/05/1970,0.002597403,4.8,
01/06/1970,0.005181347,4.9,
01/07/1970,0.00257732,5,0.017504626
01/08/1970,0.002570694,5.1,
01/09/1970,0.005128205,5.4,
01/10/1970,0.005102041,5.5,0.002347018
01/11/1970,0.005076142,5.9,
01/12/1970,0.005050505,6.1,
01/01/1971,0.002512563,5.9,0.042759193
01/02/1971,0,5.9,
01/03/1971,0.002506266,6,
01/04/1971,0.0025,5.9,0.018600968
01/05/1971,0.004987531,5.9,
01/06/1971,0.004962779,5.9,
01/07/1971,0.002469136,6,0.018511231
01/08/1971,0.002463054,6.1,
01/09/1971,0.002457002,6,
01/10/1971,0.00245098,5.8,0.010717728
01/11/1971,0.002444988,6,
01/12/1971,0.002439024,6,
01/01/1972,0.00243309,5.8,0.033867178
01/02/1972,0.004854369,5.7,
01/03/1972,0,5.8,
01/04/1972,0.002415459,5.7,0.029058783
01/05/1972,0.002409639,5.7,
01/06/1972,0.002403846,5.7,
01/07/1972,0.002398082,5.6,0.019107385
01/08/1972,0.002392344,5.6,
01/09/1972,0.00477327,5.5,
01/10/1972,0.002375297,5.6,0.029706346
01/11/1972,0.004739336,5.3,
01/12/1972,0.002358491,5.2,
01/01/1973,0.004705882,4.9,0.036560955
01/02/1973,0.007025761,5,
01/03/1973,0.009302326,4.9,
01/04/1973,0.006912442,5,0.026422696
01/05/1973,0.004576659,4.9,
01/06/1973,0.006833713,4.9,
01/07/1973,0,4.8,0.014110746
01/08/1973,0.018099548,4.8,
01/09/1973,0.004444444,4.8,
