Ticker,date,ff_accr_exp,ff_assets_com_eq,ff_assets_eq,Implosion_Next_Year,CPI,Unemployment Rate,GDP
ABP-US,2016-12-31,1.685,,1.32568965517241,0,,,
ABP-US,2017-12-31,1.987,,1.28860321756127,0,,,
ABR-US,2019-12-31,,5.69729588561504,5.26684731683845,0,,,
ABR-US,2020-12-31,,6.10486262241025,5.69856535137994,0,,,
ABR-US,2021-12-31,,8.09569115109409,6.23369912684306,0,,,
ABR-US,2022-12-31,,7.39760180123231,5.80150092134957,0,,,
ABSI-US,2019-12-31,0.532,,1.6779558772837,0,,,
ABSI-US,2020-12-31,1.569,,1.32182672934856,0,,,
ABSI-US,2021-12-31,17.434,1.16412688093918,1.16412688093918,0,,,
ABSI-US,2022-12-31,20.481,1.2341425729008,1.2341425729008,0,,,
ABST-US,2019-06-30,10.372833,,-2.04108403745654,0,,,
ABST-US,2020-06-30,13.881936,,-3.02332553031268,0,,,
ABST-US,2021-06-30,16.113,8.79767037289161,8.79767037289161,0,,,
ABST-US,2022-06-30,20.212,173.684901531729,173.684901531729,0,,,
ABT-US,2019-12-31,4978.0,2.18370432321153,2.18370432321153,0,,,
ABT-US,2020-12-31,5842.0,2.21290873596877,2.21290873596877,0,,,
ABT-US,2021-12-31,6464.0,2.10032959052567,2.10032959052567,0,,,
ABT-US,2022-12-31,6925.0,2.02905740609497,2.02905740609497,0,,,
ABTX-US,2018-12-31,,6.62888771294937,6.62888771294937,0,,,
ABTX-US,2019-12-31,,7.04310115303614,7.04310115303614,0,,,
ABTX-US,2020-12-31,,7.99568981993465,7.99568981993465,0,,,
ABTX-US,2021-12-31,,8.71531278629414,8.71531278629414,0,,,
ABUS,2012-12-31,2.93939138294667,1.28535517054851,1.28535517054851,0,,,
ABUS,2013-12-31,2.446766,1.21155239794706,1.21155239794706,0,,,
ABUS,2014-12-31,7.034,1.34239790992219,1.34239790992219,0,,,
ABUS,2015-12-31,5.92,1.30056292098109,1.30056292098109,1,,,
ABUS-US,2019-12-31,4.837,,1.45077257230837,0,,,
ABUS-US,2020-12-31,5.907,,1.34436969185807,0,,,
ABUS-US,2021-12-31,7.638,1.20683549832093,1.20683549832093,0,,,
ABUS-US,2022-12-31,12.509,1.42795867068074,1.42795867068074,0,,,
ABVA-US,2008-12-31,,15.4128393467323,15.4128393467323,0,,,
ABVA-US,2009-12-31,,17.2252369167622,17.2252369167622,0,,,
ABVA-US,2010-12-31,,15.9913908267775,15.9913908267775,0,,,
ABVA-US,2011-12-31,,18.0102055330346,18.0102055330346,0,,,
