,CPI,Unemployment Rate,GDP
1969-11-01,0.00536193029490617,3.5,
1969-12-01,0.005333333333333412,3.5,
1970-01-01,0.0053050397877982824,3.9,0.012573363887773192
1970-02-01,0.005277044854881341,4.2,
1970-03-01,0.005249343832020914,4.4,
1970-04-01,0.005221932114882533,4.6,0.015387176560121674
1970-05-01,0.0025974025974027093,4.8,
1970-06-01,0.005181347150258864,4.9,
1970-07-01,0.002577319587628857,5.0,0.017504625834406706
1970-08-01,0.0025706940874037354,5.1,
1970-09-01,0.00512820512820511,5.4,
1970-10-01,0.005102040816326481,5.5,0.0023470179796860613
1970-11-01,0.005076142131979822,5.9,
1970-12-01,0.005050505050504972,6.1,
1971-01-01,0.002512562814070307,5.9,0.04275919339192802
1971-02-01,0.0,5.9,
1971-03-01,0.0025062656641603454,6.0,
1971-04-01,0.0024999999999999467,5.9,0.018600967620309383
1971-05-01,0.004987531172069737,5.9,
1971-06-01,0.00496277915632759,5.9,
1971-07-01,0.0024691358024691024,6.0,0.018511231363581793
1971-08-01,0.0024630541871921707,6.1,
1971-09-01,0.002457002457002311,6.0,
1971-10-01,0.002450980392156854,5.8,0.010717727726240245
1971-11-01,0.0024449877750611915,6.0,
1971-12-01,0.0024390243902439046,6.0,
1972-01-01,0.0024330900243310083,5.8,0.033867177687585404
1972-02-01,0.004854368932038833,5.7,
1972-03-01,0.0,5.8,
1972-04-01,0.0024154589371980784,5.7,0.029058783090323503
1972-05-01,0.002409638554216942,5.7,
1972-06-01,0.0024038461538462563,5.7,
1972-07-01,0.0023980815347719453,5.6,0.01910738497231068
1972-08-01,0.0023923444976077235,5.6,
1972-09-01,0.004773269689737569,5.5,
1972-10-01,0.002375296912114022,5.6,0.029706345897846376
1972-11-01,0.004739336492890933,5.3,
1972-12-01,0.002358490566037874,5.2,
1973-01-01,0.004705882352941337,4.9,0.036560955494151504
1973-02-01,0.007025761124121788,5.0,
1973-03-01,0.009302325581395321,4.9,
1973-04-01,0.00691244239631339,5.0,0.026422696353512576
1973-05-01,0.004576659038901587,4.9,
1973-06-01,0.006833712984054774,4.9,
1973-07-01,0.0,4.8,0.014110745766811705
1973-08-01,0.018099547511312153,4.8,
1973-09-01,0.004444444444444473,4.8,
1973-10-01,0.008849557522123908,4.6,0.02960655248361399
1973-11-01,0.006578947368421018,4.8,
1973-12-01,0.008714596949890963,4.9,
1974-01-01,0.010799136069114423,5.1,0.010106422252011749
1974-02-01,0.010683760683760646,5.2,
1974-03-01,0.010570824524312794,5.1,
1974-04-01,0.006276150627615218,5.1,0.02605067431862329
1974-05-01,0.01039501039501034,5.1,
1974-06-01,0.008230452674897082,5.4,
1974-07-01,0.006122448979591688,5.5,0.019587518365340895
1974-08-01,0.012170385395537497,5.5,
1974-09-01,0.014028056112224574,5.9,
1974-10-01,0.007905138339920903,6.0,0.025418166107487927
1974-11-01,0.009803921568627416,6.6,
1974-12-01,0.007766990291262044,7.2,
1975-01-01,0.007707129094412402,8.1,0.01027518645928338
1975-02-01,0.005736137667304186,8.1,
1975-03-01,0.0038022813688212143,8.6,
1975-04-01,0.0037878787878788955,8.8,0.022112892886401836
1975-05-01,0.0018867924528302993,9.0,
1975-06-01,0.007532956685499137,8.8,
1975-07-01,0.009345794392523255,8.6,0.035092105653468986
1975-08-01,0.0037037037037037646,8.4,
1975-09-01,0.007380073800737907,8.4,
1975-10-01,0.005494505494505475,8.4,0.030418991472786594
1975-11-01,0.007285974499089187,8.3,
1975-12-01,0.005424954792043524,8.2,
1976-01-01,0.003597122302158251,7.9,0.033292637034993744
1976-02-01,0.0017921146953405742,7.7,
1976-03-01,0.0017889087656530744,7.6,
1976-04-01,0.0017857142857142794,7.7,0.017492572042535848
1976-05-01,0.005347593582887722,7.4,
1976-06-01,0.005319148936170359,7.6,
1976-07-01,0.005291005291005346,7.8,0.018477249218822545
1976-08-01,0.0052631578947368585,7.8,
1976-09-01,0.00523560209424101,7.6,
1976-10-01,0.005208333333333259,7.7,0.02529209279545075
1976-11-01,0.003454231433505983,7.8,
1976-12-01,0.005163511187607606,7.8,
1977-01-01,0.005136986301369939,7.5,0.028111336920900065
1977-02-01,0.010221465076660996,7.6,
1977-03-01,0.005059021922428464,7.4,
1977-04-01,0.006711409395973034,7.2,0.03382247637590985
1977-05-01,0.0033333333333334103,7.0,
1977-06-01,0.004983388704318914,7.2,
1977-07-01,0.0049586776859502635,6.9,0.030431308000499868
1977-08-01,0.00493421052631593,7.0,
1977-09-01,0.003273322422258529,6.8,
1977-10-01,0.004893964110930016,6.8,0.02161792951810093
1977-11-01,0.006493506493506551,6.8,
1977-12-01,0.004838709677419395,6.4,
1978-01-01,0.006420545746388617,6.4,0.01778428754268191
1978-02-01,0.004784688995215225,6.3,
1978-03-01,0.006349206349206327,6.3,
1978-04-01,0.007886435331230235,6.1,0.05850523888212944
1978-05-01,0.009389671361502261,6.0,
1978-06-01,0.007751937984496138,5.9,
1978-07-01,0.007692307692307665,6.2,0.02719982089805728
1978-08-01,0.006106870229007688,5.9,
1978-09-01,0.009104704097116834,6.0,
1978-10-01,0.009022556390977376,5.8,0.034193815335193056
1978-11-01,0.005961251862891315,5.9,
1978-12-01,0.005925925925926112,6.0,
1979-01-01,0.008836524300441795,5.9,0.02004926221734893
1979-02-01,0.010218978102189746,5.9,
1979-03-01,0.010115606936416333,5.8,
1979-04-01,0.010014306151645114,5.8,0.025582499871368958
1979-05-01,0.011331444759206999,5.6,
1979-06-01,0.011204481792717047,5.7,
1979-07-01,0.011080332409972193,5.7,0.0294522289847321
1979-08-01,0.009589041095890538,6.0,
1979-09-01,0.009497964721845387,5.9,
1979-10-01,0.010752688172043001,6.0,0.02111213784856214
1979-11-01,0.010638297872340496,5.9,
1979-12-01,0.011842105263157876,6.0,
1980-01-01,0.014304291287386084,6.3,0.02421506356917691
1980-02-01,0.012820512820512775,6.3,
1980-03-01,0.013924050632911245,6.3,
1980-04-01,0.00998751560549338,6.9,0.0026919087174110956
1980-05-01,0.009888751545117369,7.5,
1980-06-01,0.009791921664626724,7.6,
1980-07-01,0.00121212121212122,7.8,0.021138204988146114
1980-08-01,0.007263922518159882,7.7,
1980-09-01,0.008413461538461675,7.5,
1980-10-01,0.009535160905840279,7.5,0.04518633578424924
1980-11-01,0.010625737898465104,7.5,
1980-12-01,0.009345794392523477,7.2,
1981-01-01,0.0092592592592593,7.5,0.04643991054265606
1981-02-01,0.00917431192660545,7.4,
1981-03-01,0.006818181818181834,7.4,
1981-04-01,0.0056433408577878375,7.2,0.012267436910370133
1981-05-01,0.006734006734006925,7.5,
1981-06-01,0.008918617614269708,7.5,
1981-07-01,0.011049723756906049,7.2,0.03101217631948061
1981-08-01,0.007650273224043769,7.4,
1981-09-01,0.009761388286333883,7.6,
1981-10-01,0.003222341568206444,7.9,0.006197921921947902
1981-11-01,0.004282655246252487,8.3,
1981-12-01,0.0031982942430703876,8.5,
1982-01-01,0.0031880977683316214,8.6,-0.0019860900543705595
1982-02-01,0.0031779661016948513,8.9,
1982-03-01,0.0,9.0,
1982-04-01,0.0031678986272438703,9.3,0.017612914141700964
1982-05-01,0.0094736842105263,9.4,
1982-06-01,0.011470281543274119,9.6,
1982-07-01,0.005154639175257714,9.8,0.01030921028147902
1982-08-01,0.002051282051282133,9.8,
1982-09-01,0.0,10.1,
1982-10-01,0.004094165813715467,10.4,0.010765161502672704
1982-11-01,-0.0010193679918449883,10.8,
1982-12-01,-0.003061224489795844,10.8,
1983-01-01,0.0020470829068577334,10.4,0.020823138806328467
1983-02-01,0.0010214504596526286,10.4,
