Ticker,date,FF_PRICE_CLOSE_FP,ff_debt_entrpr_val,ff_tot_debt_tcap_std,ff_fix_assets_com_eq,ff_debt_eq,ff_debt_com_eq,ff_inven_curr_assets,ff_ltd_com_eq,ff_liabs_lease,ff_ltd_tcap,ff_sales_wkcap,ff_bps_gr,ff_oper_inc_tcap,ff_assets_gr,ff_fcf_yld,ff_mkt_val_gr,ff_earn_yld,ff_pbk_tang,ff_zscore,ff_entrpr_val_sales,ff_psales_dil,Implosion_Next_Year,CPI,Unemployment Rate
ADO-US,2006-12-31,17.13,0.133589,36.9309462915601,9.28629359286294,58.5563665855637,58.5563665855637,0.0,57.0154095701541,0.0,35.9590792838875,13.2840700599658,31.1111773561282,19.8653836187454,25.4822245761546,5.05196,47.4342,6.00876,23.1434,4.44391,0.556188,0.52547,0,0.005445545,4.4
ADPT,2021-12-31,28.06,0.0302233,15.6119888449867,28.6328295739016,18.5002450363581,18.5002450363581,4.7828915351535,17.6633134213698,106.685,14.9057189003705,0.534171336016696,-20.8915145005371,-29.196123688755,-17.2937637829694,-6.67778,-51.2534,-5.26301,8.32647,6.16241,23.9539,25.5168,1,0.00780737,3.9
ADRX-US,2005-12-31,16.48,0.0,0.0,35.2744848180613,0.0,0.0,31.2833160527972,0.0,0.0,0.0,2.12434023693368,10.212805481951,4.61958270584752,18.3086409898627,7.88868,-23.8423,5.15777,1.58553,3.6504,0.893994,1.16464,0,0.0,4.9
ADSC-US,2003-03-31,2.55,0.0,0.0,0.464530351940792,0.0,0.0,0.0,0.0,0.0,0.0,0.575218658892128,5.92163879354415,7.49547279741753,3.81559259068159,12.0698,14.1706,6.66667,0.879076,11.6578,-0.115922,1.55716,0,0.001633987,5.9
ADTN-US,2022-12-31,18.79,0.0991372,13.1767698724899,14.1813158029684,15.1765487797889,15.1765487797889,48.5357458296343,2.29321868077837,22.807,1.99104653253925,2.61427591815093,75.4318233027957,-3.45401657648597,246.690722825354,-7.1862,30.6601,-0.174029,6.91632,1.96888,1.4846,1.14231,0,0.001312802,3.5
ADXN,2021-12-31,6.29,0.0382918,2.77083757288869,3.2050457743325,2.84980065277459,2.84980065277459,0.0,1.14885016544032,0.213264555781156,1.1170175011793,0.164418525577204,-19.2719191985782,-90.0820764878627,8.62630112976455,-45.2397,-34.4015,-46.9444,2.14024,-17.7995,4.3036,11.1422,1,0.00780737,3.9
ADY-US,2012-12-31,6.6,0.611862,38.9832895229239,65.9145799434161,63.889528380062,63.889528380062,19.4462029195997,29.5004623071798,0.296856,18.0002121214559,7.42229461386795,14.5658172046393,4.26810839497124,7.79794912595401,34.6662,155.731,15.9091,0.647194,1.27039,0.786526,0.486813,0,-0.000121082,7.9
ADZA-US,2006-12-31,14.91,0.0,0.0,0.423898936517866,0.0,0.0,0.853098666111241,0.0,0.0,0.0,0.488663069431649,8.87878393252473,1.24742065900412,9.57753944889864,2.05711,-28.4689,0.938967,2.44476,19.3552,3.3114,5.2116,0,0.005445545,4.4
AEGN-US,2020-12-31,18.99,0.354382,40.5597775883689,36.3668896413136,68.23624801988,68.23624801988,9.40568334681323,58.2366734484994,38.724,34.6160082229233,3.19974964942998,-6.35252199438759,8.46494026926801,-9.44899765246662,15.7919,-15.319,-5.45919,4.47365,2.65564,0.952535,0.722486,0,0.004685349,6.7
AEHL,2021-12-31,1.59000007845168,0.78333,62.0259925291227,89.5324603829972,163.338051983799,163.338051983799,23.8715625448692,65.520427824309,5.22880431798034,24.8807275302793,5.72319230933141,-67.0371741706161,-71.5461147992899,-19.0223550706182,-17.8108,4.27502,-168.132,1.19066,-8.15799,0.496237,0.244081,1,0.00780737,3.9
AEHR-US,2022-05-31,8.38,0.0049736,1.93480142321377,4.15775951675852,1.97297456314107,1.97297456314107,25.0820737580616,0.415775951675852,0.212,0.407731512645447,1.03747474128957,289.607725304101,15.0014424463891,187.689822294023,0.469181,325.74,4.05967,4.45715,12.6948,3.97938,4.579,0,0.009206163,3.6
AEIS-US,2022-12-31,85.78,0.148651,31.242294100957,23.3186434542193,45.4382438920083,45.4382438920083,31.6371536220861,41.9896705046672,94.46,28.8711341535763,2.31991109669617,22.9630377797374,16.3495318424514,9.61999405724851,3.38405,-6.19935,6.17055,5.39328,4.54833,1.76613,1.75337,0,0.001312802,3.5
AEM-US,2022-12-31,51.9281154286136,0.063288,8.42082020069404,113.656843075497,9.19512515743,9.19512515743,55.4606549639253,8.3548868643576,114.876,7.65133686353864,4.65385036279653,45.754420375079,8.37228274400591,130.640273232669,-0.219162,81.8826,2.94908,1.67115,2.46438,4.11016,3.96648,0,0.001312802,3.5
AEMD,2016-03-31,80.3999959800002,0.0138948,25.3679403989426,2.32095934875573,33.9906744293884,33.9906744293884,0.0,33.9906744293884,0.0,25.3679403989426,0.479256345373863,120.339496380051,-210.758663782745,85.193337911093,-10.9477,-45.9272,-12.3134,28.0112,-28.5616,42.8436,44.7005,1,0.003134796,5.0
AEO-US,2022-01-31,22.4,0.301183,55.9256507417589,134.953345995426,126.889339679364,126.889339679364,39.6197645684375,105.044069139521,1154.481,46.2974899076207,9.04387305907558,29.1771455336684,18.804300715754,9.80010477483209,6.66687,0.124967,9.07054,3.60044,3.37655,1.19701,0.923258,0,0.006094978,4.0
AEPI-US,2016-10-31,109.55,0.195023,54.467741352078,158.586661017548,119.624510115454,119.624510115454,45.9154859803824,117.506090456519,5.056,53.5031770337236,12.6497976639382,26.0987881996027,31.8374548362853,-10.8072375370566,11.4773,37.2366,5.11182,5.41461,5.60883,0.631555,0.511728,0,0.002342687,4.9
AEVA,2021-12-31,7.56,0.00952904,2.21275629254579,3.37879292513191,2.2628271425316,2.2628271425316,0.44996117639874,1.63352148228654,7.455,1.59737563289715,0.0208583321889204,-72.4225243788049,-22.3238333586885,97.0811266319447,-5.66081,259.958,-6.70899,3.59636,42.6887,116.971,163.888,1,0.00780737,3.9
AEY-US,2022-12-31,1.45,0.189982,23.6371703853955,40.8732464513987,30.9537644226778,30.9537644226778,44.6785647542515,15.6802523449822,1.889,11.9738843813387,11.9463186407289,3.09480329435099,7.2198275862069,-0.344171060339782,9.94262,-31.1447,2.4069,1.81662,5.34732,0.202294,0.201511,0,0.001312802,3.5
AEYE,2020-12-31,25.83,0.00864743,20.9157774785041,9.27551421459452,26.4474718365208,26.4509367221276,0.0,19.9397353596227,0.439,15.7671190303533,3.74725475841874,327.469223350542,-73.8941261783901,99.4483756604802,-0.705868,528.516,-2.9969,54.5689,10.5951,11.4032,11.7487,1,0.004685349,6.7
AFCI-US,2003-12-31,20.15,0.0,0.0,4.44213911299327,0.0,0.0,1.59049745095917,0.0,0.0,0.0,0.386157899308069,3.97448848400249,2.70342971062451,6.81441251570541,28.0989,24.578,1.53846,1.89008,4.91429,2.01211,5.2856,0,0.002702703,5.7
AFFX-US,2015-12-31,10.09,0.155177,26.7811395926542,6.1900705373276,36.5768320398051,36.5768320398051,20.8578815750434,35.397770985076,0.0,25.9178445248748,1.86548163515489,14.9865789387541,5.07229017073818,12.4022706906615,3.2025,10.7541,1.2884,9.86519,2.27916,2.24568,2.28691,0,-0.001075553,5.0
AFIS-US,2000-03-31,13.0,0.000332408,0.109541523083594,7.03433780356857,0.109661648123187,0.109661648123187,17.7433984221245,0.0776770007539238,0.034,0.0775919121842123,3.47560320020238,25.581331625331,28.6519546315525,7.74173707552362,4.30455,87.6764,4.92308,3.81029,7.39458,1.31382,1.44893,0,0.005882353,4.0
AFMD-US,2022-12-31,1.24000042125,-2.71833,10.6303770796833,2.86695222836216,11.8948435405291,11.8948435405291,0.320293772632223,7.75790471830756,0.187836,6.93321036320208,0.252277377915987,-12.761643223221,-51.5303954257763,-16.4153237451362,-62.8402,-72.8186,-51.2016,1.13513,-1.09854,-0.164313,4.06179,0,0.001312802,3.5
AFOP-US,2015-12-31,15.16,0.0,0.0,25.740416732941,0.0,0.0,20.4387623308313,0.0,0.0,0.0,2.14479315263909,-17.1627960187622,30.52966438683,-23.3329847013968,3.11675,-8.07361,4.8153,3.80671,10.1996,3.05532,3.35078,0,-0.001075553,5.0
AFWY-US,1999-12-31,16.1875,0.33582,46.0022695715793,187.602824371468,85.1929686795999,85.1929686795999,2.73395611077331,80.9995365662131,0.0,43.7379114032938,22.65564315675,19.2478300647607,16.3993055736577,19.4364709895166,-9.32852,42.8774,9.08108,1.68057,3.0547,0.67565,0.453335,0,0.002375297,4.0
